Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,15096,6.848
200507,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,776831,352.371
200507,Cargolux Airlines,CV,Cargolux Airlines,CV,International,Europe,Deplaned,Cargo,Freighter,1029715,467.079
200507,Cargolux Airlines,CV,Cargolux Airlines,CV,International,Europe,Enplaned,Cargo,Freighter,786402,356.712
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Freighter,920693,417.626
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,241333,109.469
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,129473,58.729
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Freighter,1110414,503.684
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,251430,114.049
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Express,Passenger,3,0.001
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Mail,Passenger,251430,114.049
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,2108144,956.254
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,66167,30.013
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,2065410,936.87
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Freighter,47294,21.453
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Deplaned,Cargo,Freighter,315657,143.182
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Enplaned,Cargo,Freighter,403914,183.215
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,722328,327.648
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Express,Passenger,531960,241.297
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,160118,72.63
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,64769,29.379
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Express,Passenger,1481410,671.968
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,213104,96.664
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Combi,3343546,1516.632
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,97764,44.346
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Combi,2123959,963.428
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,62104,28.17
200507,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Deplaned,Cargo,Freighter,215807,97.89
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,8985408,4075.781
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,7879802,3574.278
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,37720,17.11
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,11381,5.162
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Cargo,Passenger,79810,36.202
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,1664,0.755
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,147814,67.048
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,420021,190.522
200507,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,26270,11.916
200507,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,5330,2.418
